TBESG - Translators Brief lexicon of Extended Strongs for Greek - STEPBible.org CC BY
See also:
TFLSJ - Translators Formatted full LSJ Bible lexicon 0-5624 - STEPBible.org CC BY	
TFLSJ - Translators Formatted full LSJ Bible lexicon extra - STEPBible.org CC BY
=======================================================
Lexicons for the tagged texts used by STEPBible, based on BHS for OT and LSJ for NT, backwardly compatible for any tagging based on Strong numbers. 
Extended Strongs for Greek is backwardly compatible with original Strong and NASB, and extended to include all NT variants and LXX + variants.
The Brief lexicon is based on the Abbott-Smith definitions, and is edited to conform with the extended Strongs. For a few words where Abbott-Smith lacks a definition, one is supplied  from MiddleLiddel (MD) or STEPBible scholars
The Full lexicon is edited from the Full LSJ by Tyndale House scholars, formatted to make it easy to read, with expansion of abbreviations and revealing examples from Greek literature on hover over dates of the earliest source (added by Tyndale House)

	==============================================================												
	Data created by www.STEPBible.org based on work at  Tyndale House Cambridge (CC BY 4.0)												
	==============================================================												
	This licence allows you to:												
	* Include any part of this data in software or publications without requesting permission 												
	* Download the data and reformat it for your application, without changing the data												
	* Send any proposed corrections to STEPBibleATGmail.com. to be verified 												
	  (You MAY make changes yourself, but you should include a note of changes that can be viewed by those who use your new data)												
	* Refer others to github.com/STEPBible as the source of the data. Please do not redistribute it yourself. 												
	  (Updates or corrections are easier to implement when the data is distributed from a single source)												
	* We'd love to hear about your project when you make it available. Email us at STEPBibleATGmail.com.												
	==============================================================												



Fields: 
=====

* EStrong# = Extended Strong's Numbers: 
 - G0001 - G5624 Strongs numbers from original set made by Strong for Greek behind the KJV  
   (G3203-G3302 which aren't used for some reason)
 - G5627 - G5799 = Greek morphology codes  (these numbers aren't used in this lexicon) 
 - G5800 - G5893 = Greek Synonyms - see http://studybible.info/strongs/G5800  (these numbers aren't used in this lexicon) 
 - G6000 - G6090 = Extra Strongs Numbers in NASB mainly for variants not known to Strong. (they remain the same so it is backward-compatible with NASB) 
 - G6100 - G9979 = Extra Greek from Apostolic Bible Project mainly for LXX words not found in NT (including Greek names that don't occur in the Hebrew) 
 - G6091 - G6099, G9980 - G9999 = Extra Greek for variants which are not included in NASB or Apostolic Bible  
 - G10000 - 19999 = Greek equivalent of Strongs Hebrew numbers for names and transliterated words eg  Abagtha (H0005) = G10005. When there is a NT equivalent, this is the STEP_LexicalTag
 - G20000 - G20199 = Words where  the Full LSJ entry refers to the LXX, but they are not referred to in the AB tagging because they only occur in non-Protestant canons or in MSS other than Vaticanus (used by AB)

Strong numbers	Three sets of numbers are included: eStrong, dStrong & uStrong. A lexicon or tagging system will normally use only one set, depending on its purpose, though it may be useful to keep both dStrong & uStrong. 
	Any record can be deleted if it does not have  a number for the system that is to be used. Each system has different advantages: 
eStrong#	This is the standard Extended Strongs which conforms with the subdivisions of words in BDB (Brown Driver Brigg's lexicon, largely followed by later lexicons). This was done by OS (OpenScriptures.org)
dStrong	This is STEPBible's Disambiguated Strongs which has separate numbers when a  name is used for different people or places, and when a word has significantly different sub-meanings. See TinyURL.com/DisambiguatedStrongs. 
uStrong	This is STEPBible's Unified Strongs  which has a single number for an individual's various  names, and a single number for a word that has different forms or spellings or that has a Hebrew and Aramaic versions. 

For example: 	Strong used G2264 for all three people in the NT named Herod (the Great, Anitipas and Agrippa I), and a different number for "Herodian" which describes Herod Anitipas. 
	eStrong doesn't divide up any names in the NT (like it does in the OT) because eStrong was created to map Strongs to the Hebrew lexicon BDB. 
	dStrong has a unique number for each person: G2264G, G2264H, G2264I. As in the OT, letters start at G when there is no "a" or "b" etc in eStrongs (which never happens in Greek) 
	uStrong has only one unique number for each individual, so a search for that number finds all the places where that person is mentioned however their name is spelled. 
... see more at:	TinyURL.com/STEP-Disambiguated



$========== PERSON(s)																																					
Herod@Mat.2.1=G2264G	King Herod the Great living at the time of the New Testament	=+			Archelaus@Mat.2.22, Herod@Mat.14.1, Philip@Mat.14.3, Philip@Luk.3.1	>	#A man living at the time of the New Testament, first mentioned at Mat.2.1; <br> father of: Ethnarch Herod Archelaus (G0745), Herod Antipas I (G2264H), Herod Philip I (G5376H), Herod Philip II (G5376I)																														
- Named	Herod@Mat.2.1	G2264G«G2264=Ἡρώδης	Herod	https://www.stepbible.org/?q=version=ESV|version=KJV|text=Herod*|reference=Mat.2.1;Mat.2.3;Mat.2.7;Mat.2.12;Mat.2.13;Mat.2.15;Mat.2.16;Mat.2.19;Mat.2.22;Luk.1.5;Act.23.35	Mat.2.1; Mat.2.3; Mat.2.7; Mat.2.12; Mat.2.13; Mat.2.15; Mat.2.16; Mat.2.19; Mat.2.22; Luk.1.5; Act.23.35;																																
$========== PERSON(s)																																					
Herod@Mat.14.1=G2264H	Tetrarch Herod Antipas living at the time of the New Testament	Herod@Mat.2.1 +	Archelaus@Mat.2.22, Philip@Mat.14.3, Philip@Luk.3.1	Herodias@Mat.14.3		>	#Tetrarch Herod Antipas I living at the time of the New Testament, first mentioned at Mat.14.1; <br> son of: Herod 'the Great' (G2264G); <br> brother of: Ethnarch Herod Archelaus (G0745), Herod Philip I (G5376H) and Herod Philip II (G5376I); married to Herodias (G2266G)																														
- Named	Herod@Mat.14.1	G2264H«G2264=Ἡρώδης	Herod	https://www.stepbible.org/?q=version=ESV|version=KJV|text=Herod*|reference=Mat.14.1;Mat.14.3;Mat.14.6;Mat.14.6;Mar.6.14;Mar.6.16;Mar.6.17;Mar.6.18;Mar.6.20;Mar.6.21;Mar.6.22;Mar.8.15;Luk.3.1;Luk.3.19;Luk.3.19;Luk.8.3;Luk.9.7;Luk.9.9;Luk.13.31;Luk.23.7;Luk.23.7;Luk.23.8;Luk.23.11;Luk.23.12;Luk.23.15;Act.4.27;Act.13.1	Mat.14.1; Mat.14.3; Mat.14.6a; Mat.14.6b; Mrk.6.14; Mrk.6.16; Mrk.6.17; Mrk.6.18; Mrk.6.20; Mrk.6.21; Mrk.6.22; Mrk.8.15; Luk.3.1; Luk.3.19a; Luk.3.19b; Luk.8.3; Luk.9.7; Luk.9.9; Luk.13.31; Luk.23.7a; Luk.23.7b; Luk.23.8; Luk.23.11; Luk.23.12; Luk.23.15; Act.4.27; Act.13.1;																																
- Group	Herod@Mat.14.1	G2265«G2265=Ἡρωδιανοί	Herodian	https://www.stepbible.org/?q=version=ESV|version=KJV|text=Herodian*|reference=Mat.22.16;Mar.3.6;Mar.12.13	Mat.22.16; Mrk.3.6; Mrk.12.13;																																
$========== PERSON(s)																																					
Herod@Act.12.1=G2264I	Tetrarch & King Herod Agrippa I living at the time of the New Testament	=+	Herodias@Mat.14.3		Agrippa@Act.25.13	>	#Tetrarch & King Herod Agrippa I living at the time of the New Testament, first mentioned at Act.12.1; <BR> brother of: Herodias (G2266G); father of: Tetrarch Agrippa II (G0067)																														
- Named	Herod@Act.12.1	G2264I«G2264=Ἡρώδης	Herod	https://www.stepbible.org/?q=version=ESV|version=KJV|text=Herod*|reference=Act.12.1;Act.12.6;Act.12.11;Act.12.19;Act.12.20;Act.12.21	Act.12.1; Act.12.6; Act.12.11; Act.12.19; Act.12.20; Act.12.21;																																



* Gloss = a meaning in one word or as few as possible (by Tyndale scholars)

* Greek = unicode lexical form. Based on LSJ but conforming to BADG when the difference may be confusing. 

* Morph = simple gramatical value of the main word represented as Language:Type-Gender-Extra. 
Language:Type-Gender-Extra. 
Language is A=Aramaic, H=Hebrew, G=Greek and N=Name (which is not language specific). 
Type is A=Adjective, Adv=Adverb, Art=Article, Cond=Conditional, Conj=Conjunction, Cor=Correlative, DemP=Demonstrative Pn, ImpP=Impersonal Pn, Intg=Interogative, Intj=Interjection, N=Noun, Neg=Negative, Part=Particle, Prep=Preposition, PerP=Personal Pn, PosP=Possessive Pn, RefP=Reflexive Pn, RelP=Relative Pn, V=Verb. 
Gender is F=Female, M=Male, N=Neuter, C=Common and P or S is optionally added for Plural Singular
Extra for Names is L=Location, P=Person, LG/PG=Gentilic, T=Title (i.e. any other capitalised nouns such as titles, months, gods, planets etc)

* Meaning = lexical entry. The Brief lexicon uses Abbot-Smith or MiddleLiddel. The LJS lexicon uses the Full LSJ formatted by Tyndale House, Cambridge. Those without attribution have been added by STEPBible. 
(AS) = Abbott Smith - from https://github.com/translatable-exegetical-tools/Abbott-Smith, with corrections and adapted by Tyndale Scholars. 
(ML) = Middle Liddell - from Perseus - used for Meaning in the Brief lexicon when there is no entry by (AS)

Full LSJ - Liddell-Scott-Jones -  from Perseus, with additional features and corrections by Tyndale House, Cambridge:
 - most abbreviations have been expanded, usually in accordance with the introductions to the lexicons but occasionally made clearer. 
 - dates have been added to authors by Tyndale House, using standard reference works. 
 - coding is added to hide bibliographic data under a link stating the earliest date included in that data. (Note, not all devices work well with tooltips, so consider implementing a clickable option such as http://jsfiddle.net/xaAN3/) 


eStrong	dStrong	uStrong	Greek	Transliteration	Morph	Gloss	Abbott-Smith lexicon (AS), with gaps occationally filled from edited versions of  Middle LSJ 
G2382	G2382 =	G2382	θώραξ	thōrax	G:N-M	breastplate	 <b>θώραξ</b>, -ακσς, ὁ <BR /> [in LXX chiefly for שִׁרְיוֹן and cogn. forms ;] <BR /><b>a breastplate</b>: <ref='Rev.9.9, 17'>Rev.9:9, 17</ref>; θ. τ. δικαιοσύνης, <ref='Eph.6.14'>Eph.6:14</ref> (cf. <ref='Isa.59.17'>Isa.59:17</ref>, <ref='Wis.5.18-19'>Wis.5:18-19</ref>); θ. πίστεως, <ref='1Th.5.8.'>1Th.5:8.</ref>†<BR /> (AS)
G2383	G2383 =	G2383	Ἰάειρος	Iaeiros	N:N-M-P	Jairus	 <b>Ἰάειρος</b>, -ου, ὁ (Heb. יָאִיר, <ref='Num.32.41'>Num.32:41</ref>), <BR /> <b>Jairus</b>: <ref='Mrk.5.22'>Mrk.5:22</ref>, <ref='Luk.8.41'>Luk.8:41</ref>.†<BR /> (AS)
G2384	G2384G =	G2384G	Ἰακώβ	Iakōb	N:N-M-P	Jacob	 <b>Ἰακώβ</b>, ὁ indecl. (Heb. יַעֲקֹב), <BR /> <b>Jacob</b>; <BR /> __1. <b>The patriarch</b>: <ref='Mat.1.2; 8.11'>Mat.1:2 8:11</ref>, <ref='Jhn.4.5-6'>Jhn.4:5-6</ref>, <ref='Act.7.8'>Act.7:8</ref>, al; as in <i>Heb.</i> (cf. <ref='Num.23.7'>Num.23:7</ref>, <ref='Isa.41.8'>Isa.41:8</ref>, <ref='Sir.23.12'>Sir.23:12</ref>, al.), of his descendants, <ref='Rom.11.26'>Rom.11:26</ref> (LXX). <BR /> __2. <b>The father-in-law of Mary</b>: <ref='Mat.1.15-16'>Mat.1:15-16</ref> (on the form as distinct from that of the next word, see Deiss., BS, 3161) <BR /> (AS)
G2384	G2384H = a Name of	H3478	Ἰακώβ	Iakōb	N:N-M-P	Jacob	 <b>Ἰακώβ</b>, ὁ indecl. (Heb. יַעֲקֹב), <BR /> <b>Jacob</b>; <BR /> __1. <b>The patriarch</b>: <ref='Mat.1.2; 8.11'>Mat.1:2 8:11</ref>, <ref='Jhn.4.5-6'>Jhn.4:5-6</ref>, <ref='Act.7.8'>Act.7:8</ref>, al; as in <i>Heb.</i> (cf. <ref='Num.23.7'>Num.23:7</ref>, <ref='Isa.41.8'>Isa.41:8</ref>, <ref='Sir.23.12'>Sir.23:12</ref>, al.), of his descendants, <ref='Rom.11.26'>Rom.11:26</ref> (LXX). <BR /> __2. <b>The father-in-law of Mary</b>: <ref='Mat.1.15-16'>Mat.1:15-16</ref> (on the form as distinct from that of the next word, see Deiss., BS, 3161) <BR /> (AS)
G2385	G2385G =	G2385G	Ἰάκωβος	Iakōbos	N:N-M-P	James	 <b>Ἰάκωβος</b>, -ου, ὁ (Heb., see previous word) <BR /> <b>James</b>; <BR /> __1. <b>Son of Zebedee</b>: <ref='Mat.4.21'>Mat.4:21</ref>, <ref='Mrk.1.19, 29'>Mrk.1:19, 29</ref>, <ref='Act.1.13; 12.2'>Act.1:13 12:2</ref>, al. <BR /> __2. <b>Son of Alphæus</b>: <ref='Mat.10.3'>Mat.10:3</ref>, <ref='Mrk.2.14'>Mrk.2:14</ref>, al.; commonly identified with Ἰ. ὁ μικρός, James the little, son of Mary (see: Μαρία, 3; Κλωπᾶς), <ref='Mat.27.56'>Mat.27:56</ref>, <ref='Mrk.15.40; 16.1'>Mrk.15:40 16:1</ref> (cf. <ref='Jhn.19.25'>Jhn.19:25</ref>). <BR /> __3. <b>The Lord's brother </b>(see: ἀδελφός): <ref='Mat.13.55'>Mat.13:55</ref>, <ref='Mrk.6.3'>Mrk.6:3</ref>, <ref='Act.12.17'>Act.12:17</ref>, al., <ref='1Co.15.7'>1Co.15:7</ref> (probably), <ref='Gal.1.19; 2.9, 12'>Gal.1:19 2:9, 12</ref>, <ref='Jas.1.1'>Jas.1:1</ref>, <ref='Jude.1'>Ju 1</ref>. <BR /> __4. <b>The father of the apostle, Ἰούδας Ἰακώβου</b>: <ref='Luk.6.16'>Luk.6:16</ref>, <ref='Act.1.13'>Act.1:13</ref> <BR /> (AS)
G2385	G2385H =	G2385H	Ἰάκωβος	Iakōbos	N:N-M-P	James	 <b>Ἰάκωβος</b>, -ου, ὁ (Heb., see previous word) <BR /> <b>James</b>; <BR /> __1. <b>Son of Zebedee</b>: <ref='Mat.4.21'>Mat.4:21</ref>, <ref='Mrk.1.19, 29'>Mrk.1:19, 29</ref>, <ref='Act.1.13; 12.2'>Act.1:13 12:2</ref>, al. <BR /> __2. <b>Son of Alphæus</b>: <ref='Mat.10.3'>Mat.10:3</ref>, <ref='Mrk.2.14'>Mrk.2:14</ref>, al.; commonly identified with Ἰ. ὁ μικρός, James the little, son of Mary (see: Μαρία, 3; Κλωπᾶς), <ref='Mat.27.56'>Mat.27:56</ref>, <ref='Mrk.15.40; 16.1'>Mrk.15:40 16:1</ref> (cf. <ref='Jhn.19.25'>Jhn.19:25</ref>). <BR /> __3. <b>The Lord's brother </b>(see: ἀδελφός): <ref='Mat.13.55'>Mat.13:55</ref>, <ref='Mrk.6.3'>Mrk.6:3</ref>, <ref='Act.12.17'>Act.12:17</ref>, al., <ref='1Co.15.7'>1Co.15:7</ref> (probably), <ref='Gal.1.19; 2.9, 12'>Gal.1:19 2:9, 12</ref>, <ref='Jas.1.1'>Jas.1:1</ref>, <ref='Jude.1'>Ju 1</ref>. <BR /> __4. <b>The father of the apostle, Ἰούδας Ἰακώβου</b>: <ref='Luk.6.16'>Luk.6:16</ref>, <ref='Act.1.13'>Act.1:13</ref> <BR /> (AS)
G2385	G2385I =	G2385I	Ἰάκωβος	Iakōbos	N:N-M-P	James	 <b>Ἰάκωβος</b>, -ου, ὁ (Heb., see previous word) <BR /> <b>James</b>; <BR /> __1. <b>Son of Zebedee</b>: <ref='Mat.4.21'>Mat.4:21</ref>, <ref='Mrk.1.19, 29'>Mrk.1:19, 29</ref>, <ref='Act.1.13; 12.2'>Act.1:13 12:2</ref>, al. <BR /> __2. <b>Son of Alphæus</b>: <ref='Mat.10.3'>Mat.10:3</ref>, <ref='Mrk.2.14'>Mrk.2:14</ref>, al.; commonly identified with Ἰ. ὁ μικρός, James the little, son of Mary (see: Μαρία, 3; Κλωπᾶς), <ref='Mat.27.56'>Mat.27:56</ref>, <ref='Mrk.15.40; 16.1'>Mrk.15:40 16:1</ref> (cf. <ref='Jhn.19.25'>Jhn.19:25</ref>). <BR /> __3. <b>The Lord's brother </b>(see: ἀδελφός): <ref='Mat.13.55'>Mat.13:55</ref>, <ref='Mrk.6.3'>Mrk.6:3</ref>, <ref='Act.12.17'>Act.12:17</ref>, al., <ref='1Co.15.7'>1Co.15:7</ref> (probably), <ref='Gal.1.19; 2.9, 12'>Gal.1:19 2:9, 12</ref>, <ref='Jas.1.1'>Jas.1:1</ref>, <ref='Jude.1'>Ju 1</ref>. <BR /> __4. <b>The father of the apostle, Ἰούδας Ἰακώβου</b>: <ref='Luk.6.16'>Luk.6:16</ref>, <ref='Act.1.13'>Act.1:13</ref> <BR /> (AS)
G2385	G2385J =	G2385J	Ἰάκωβος	Iakōbos	N:N-M-P	James	 <b>Ἰάκωβος</b>, -ου, ὁ (Heb., see previous word) <BR /> <b>James</b>; <BR /> __1. <b>Son of Zebedee</b>: <ref='Mat.4.21'>Mat.4:21</ref>, <ref='Mrk.1.19, 29'>Mrk.1:19, 29</ref>, <ref='Act.1.13; 12.2'>Act.1:13 12:2</ref>, al. <BR /> __2. <b>Son of Alphæus</b>: <ref='Mat.10.3'>Mat.10:3</ref>, <ref='Mrk.2.14'>Mrk.2:14</ref>, al.; commonly identified with Ἰ. ὁ μικρός, James the little, son of Mary (see: Μαρία, 3; Κλωπᾶς), <ref='Mat.27.56'>Mat.27:56</ref>, <ref='Mrk.15.40; 16.1'>Mrk.15:40 16:1</ref> (cf. <ref='Jhn.19.25'>Jhn.19:25</ref>). <BR /> __3. <b>The Lord's brother </b>(see: ἀδελφός): <ref='Mat.13.55'>Mat.13:55</ref>, <ref='Mrk.6.3'>Mrk.6:3</ref>, <ref='Act.12.17'>Act.12:17</ref>, al., <ref='1Co.15.7'>1Co.15:7</ref> (probably), <ref='Gal.1.19; 2.9, 12'>Gal.1:19 2:9, 12</ref>, <ref='Jas.1.1'>Jas.1:1</ref>, <ref='Jude.1'>Ju 1</ref>. <BR /> __4. <b>The father of the apostle, Ἰούδας Ἰακώβου</b>: <ref='Luk.6.16'>Luk.6:16</ref>, <ref='Act.1.13'>Act.1:13</ref> <BR /> (AS)
G2386	G2386 =	G2386	ἴαμα	iama	G:N-N	healing	 <b>ἴαμα</b>, -τος, τό<BR /> (ἰάομαι), [in LXX for מַרְפֵּא (<ref='2Ch.36.16'>2Ch.36:16</ref>, <ref='Ecc.10.4'>Ecc.10:4</ref>,  <ref='Jer.33.6'>Jer.33:6</ref>, etc. ;] <BR />__1. most frequently in cl., a means of healing, remedy (Thuc., al.; <ref='Wis.11.4; 10.9'>Wis.11:4 10:9</ref>). <BR /> __2. = ἴασις (which see), <b>a healing </b>(Plat.; Jer, l.with): pl., <ref='1Co.12.9; 12.28; 12.30'>1Co.12:9 12:28 12:30</ref>.†<BR /> (AS)
G2387	G2387 =	G2387	Ἰαμβρῆς	Iambrēs	N:N-M-P	Jambres	 <b>Ἰαμβρῆς</b>, ὁ <BR /> Jambres (cf. <ref='Exo.7.11-12'>Exo.7:11-12</ref>): <ref='2Ti.3.8'>2Ti.3:8</ref>.†<BR /> (AS)
G2388	G2388 =	G2388	Ἰαννά	Ianna	N:N-M-P	Jannai	 <b>Ἰανναί </b> (Rec. -νά), ὁ, <BR /> <b>Jannai</b>: <ref='Luk.3.24.'>Luk.3:24.</ref>†<BR /> (AS)
G2389	G2389 =	G2389	Ἰαννῆς	Iannēs	N:N-M-P	Jannes	 <b>Ἰαννῆς</b>, ὁ <BR /> <b>Jannes </b>(cf. Ἰαμβρῆς): <ref='2Ti.3.8.'>2Ti.3:8.</ref>†<BR /> (AS)
G2390	G2390 =	G2390	ἰάομαι	iaomai	G:V	to heal	 <b>ἰάομαι</b>, -ῶμαι <BR /> [in LXX for רָפָא (<ref='Gen.20.17'>Gen.20:17</ref>, al.), exc. <ref='Isa.30.26; 61.1'>Isa.30:26 61:1</ref> (חָבַשׁ) ;] <BR /><b>to heal</b>: with accusative of person(s), <ref='Luk.5.17; 6.19; 9.2, 11; 9.42; 14.4; 22.51'>Luk.5:17 6:19 9:2, 11 9:42 14:4 22:51</ref>, <ref='Jhn.4.47'>Jhn.4:47</ref>, <ref='Act.9.34; 10.38; 28.8'>Act.9:34 10:38 28:8</ref>; pass., <ref='Mat.8.8, 13; 15.28'>Mat.8:8, 13 15:28</ref>, <ref='Luk.7.7; 8.47; 17.15'>Luk.7:7 8:47 17:15</ref>, <ref='Jhn.5.13'>Jhn.5:13</ref>; id. before ἀπό᾽, <ref='Mrk.5.29'>Mrk.5:29</ref>, <ref='Luk.6.17'>Luk.6:17</ref>; figuratively, of spiritual healing, <ref='Mat.13.15'>Mat.13:15</ref>, <ref='Jhn.12.40'>Jhn.12:40</ref>, <ref='Act.28.27'>Act.28:27</ref>" (LXX) ; pass., <ref='Heb.12.13'>Heb.12:13</ref>, <ref='Jas.5.16'>Jas.5:16</ref>, <ref='1Pe.2.24'>1Pe.2:24</ref>.†<BR /> <re><i>SYN.</i>: θεραπεύω, q.v </re> (AS)
G2391	G2391 = the Greek of	H3382G	Ἰάρεδ	Iared	N:N-M-P	Jared	 <b>Ἰάρετ</b> (Rec. -ρέδ, L, Ἰάρεθ), ὁ (Heb. יֶרֶד, LXX Ἰάρεδ, FlJ, Ἰάρεδος), <BR /> Jared (<ref='Gen.5.15'>Gen.5:15</ref>): <ref='Luk.3.37'>Luk.3:37</ref>.†<BR /> (AS)
G2392	G2392 =	G2392	ἴασις	iasis	G:N-F	healing	 <b>ἴασις</b>, -εως, ἡ<BR /> (ἰάομαι), [in LXX chiefly for מַרְפֵּא ;] <BR /><b>a healing, cure</b>: <ref='Act.4.22, 30'>Act.4:22, 30</ref>; pl., <ref='Luk.13.32.'>Luk.13:32.</ref>†<BR /> <re><i>SYN.</i>: see: θεραπεία, 2; ἴαμα, 2 </re> (AS)
G2393	G2393 =	G2393	ἴασπις	iaspis	G:N-F	jasper	 <b>ἴασπις</b>, -ιδος, ἡ <BR /> [in LXX: <ref='Exo.28.18; 36.38'>Exo.28:18 36:38</ref> (<ref='Exo.39.11'>Exo.39:11</ref>) (יַהֲלֹם), <ref='Isa.54.12'>Isa.54:12</ref> (כַּדְכֹּד), <ref='Ezk.28.13'>Eze.28:13</ref> (יָשְׁפֵה, see B<i>DB</i>, <i>Lex.</i>, see word)* ;] <BR /><b>jasper, apparently not the modern stone of that name, but a translucent stone </b>(<i>DB</i>, see word): <ref='Rev.4.3; 21.11, 18-19'>Rev.4:3 21:11, 18-19</ref>.†<BR /> (AS)
G2394	G2394 =	G2394	Ἰάσων	Iasōn	N:N-M-P	Jason	 <b>Ἰάσων</b>, -ονος, ὁ <BR /> <b>Jason</b>: <ref='Act.17.5-7'>Act.17:5-7</ref>, 9; perhaps the same, <ref='Rom.16.21.'>Rom.16:21.</ref>†<BR /> (AS)
G2395	G2395 =	G2395	ἰατρός	iatros	G:N-M	physician	 <b>ἰατρός</b>, -οὔ, ὁ<BR /> (ἰάομαι), [in LXX for רָפָא ;] <BR /><b>a physician</b>: <ref='Mat.9.12'>Mat.9:12</ref>, <ref='Mrk.2.17; 5.26'>Mrk.2:17 5:26</ref>, <ref='Luk.4.23; 5.31; 8.43'>Luk.4:23 5:31 8:43</ref> (om. WH, R, mg.), <ref='Col.4.14'>Col.4:14</ref> (on the status of physicians, see MM, <i>Exp.</i>, xv.).†<BR /> (AS)
G2396	G2396 =	G2396	ἴδε	ide	G:INJ	look!	 <b>ἴδε</b> (Attic ἰδέ; the "later" accentuation is also found in Hom.; Veitch, 215) <BR /> __1. prop., 2 aor. imperat. of ὁράω, which see <BR /> __2. <b>As interjection, apart from the construction of the sentence, and used where one or many are addressed, see! behold! lo!</b>: <ref='Mat.25.20, 22; 25.25'>Mat.25:20, 22 25:25</ref>, <ref='Mrk.2.24; 3.34; 11.21; 13.1, 21; 15.4, 35; 16.6'>Mrk.2:24 3:34 11:21 13:1, 21 15:4, 35 16:6</ref>, <ref='Jhn.1.29, 36; 1.48; 3.26; 5.14; 7.26; 11.3, 36; 12.19; 16.29; 18.21; 19.4, 14; 19.26-27'>Jhn.1:29, 36 1:48 3:26 5:14 7:26 11:3, 36 12:19 16:29 18:21 19:4, 14 19:26-27</ref>, <ref='Gal.5.2'>Gal.5:2</ref>.†<BR /> (AS)
G2397	G2397 =	G2397	ἰδέα	idea	G:N-F	appearance	 <b>ἰδέα</b>, -ας, ἡ, see: εἰδέα <BR />  <b>εἰδέα</b> (Rec. ἰδ-, as in cl.; see Tdf., <i>Pr.</i>, 81), -ας, ἡ (εἶδον), [in LXX (seel. ἰδ-): <ref='Gen.5.3'>Gen.5:3</ref> (דְּמוּת), <ref='Dan.1.13, 15'>Da TH 1:13, 15</ref> (מַרְאֶה), Ep. Jer.63, <ref='2Ma.3.16'>2Ma.3:16</ref> * ;] <BR /> <b>appearance, look</b>: <ref='Mat.28.3.'>Mat.28:3.</ref>†<BR /> (AS)
G2398	G2398 =	G2398	ἴδιος	idios	G:A	one's own/private	 <b>ἴδιος</b>, -α, -ον (in Attic usually -ος, -ον), <BR /> [in LXX chiefly for of person(s) suff., also for לָהֶם, etc.; (τὰ ἴ.) בֵּיתוֹ ;] <BR /> __1. <b>one's own</b>; <BR />__(a) <b>of that which is private and personal </b>(in cl. opposite to κοινός, δημόσιος; cf. infr. 3); <BR /> __(b) of property, friends, home, country, etc. (in cl. opposite to ἀλλότριος; in late writers often, like ἑαυτοῦ, with weakened sense, see M, <i>Pr.</i>, 87ff.; Deiss., <i>BS</i>, 123f.): <ref='Luk.6.41'>Luk.6:41</ref>, <ref='Jhn.1.42; 5.43'>Jhn.1:42 5:43</ref>, <ref='Act.2.6; 20.28'>Act.2:6 20:28</ref>, <ref='1Co.11.21'>1Co.11:21</ref>, <ref='Gal.6.5'>Gal.6:5</ref>, <ref='2Ti.1.9'>2Ti.1:9</ref>, <ref='Heb.7.27'>Heb.7:27</ref>, <ref='Jude.6'>Ju 6</ref>, al.; πράσσειν τὰ ἴ., <ref='1Th.4.11'>1Th.4:11;</ref> κατὰ τὰς ἰ. ἐπιθυμίας, <ref='2Ti.4.3'>2Ti.4:3;</ref> οἱ ἴδιοι, <ref='Jhn.1.11'>Jhn.1:11</ref> (M, <i>Pr.</i>, 90f.; Field, <i>Notes</i>, 84) 13:1, <ref='Act.4.23'>Act.4:23</ref>, <ref='1Ti.5.8'>1Ti.5:8</ref>; τὰ ἴδια, one's <i>home</i> (Field, <i>Notes</i>, l.with), <ref='Luk.18.28'>Luk.18:28</ref>, <ref='Jhn.1.11; 16.32; 19.27'>Jhn.1:11 16:32 19:27</ref>. <BR /> __2. <b>peculiar, distinct, appropriate, proper</b>: τὸ ἴ. σῶμα, <ref='1Co.15.38'>1Co.15:38;</ref> ἐν τ. ἰ. τάγματι, <ref='1Co.15.23'>1Co.15:23;</ref> εἰς τ. τόπον τ. ἴ., <ref='Act.1.25'>Act.1:25;</ref> = αὐτοῦ (see Deiss., ut. supr.), <ref='Mat.22.5'>Mat.22:5</ref>, <ref='Jhn.1.42'>Jhn.1:42</ref> (cf. <ref='Wis.10.1'>Wis.10:1</ref>). <BR /> __3. Adverbially (see supr., 1 (<i>a</i>);  and cf. WM, 739:2); <BR />__(a) ἰδίᾳ, <b>severally, separately</b>: <ref='1Co.12.11'>1Co.12:11;</ref> <BR /> __(b) κατ᾽ ἰδίαν, <b>apart, privately, in private</b>: <ref='Mat.14.13, 23; 20.17'>Mat.14:13, 23 20:17</ref>, <ref='Mrk.4.34; 7.33'>Mrk.4:34 7:33</ref>, <ref='Luk.10.23'>Luk.10:23</ref>, <ref='Act.23.19'>Act.23:19</ref>, al.<BR /> (AS)
G2399	G2399 =	G2399	ἰδιώτης	idiōtēs	G:N-M	unlearned	 <b>ἰδιώτης</b>, -ου, ὁ<BR /> (ἴδιος), [in LXX: <ref='Pro.6.8'>Pro.6:8</ref> (no <i>Heb.</i>)* ;] <BR />__1. a pri­vate person, as opposite to the State or an official (βασιλεῖς κ. ἰδιῶται, Pr, l.with; and cf. MM, <i>Exp.</i>, xv). <BR /> __2. <b>one without professional knowledge, unskilled, uneducated, unlearned</b>: <ref='1Co.14.16; 14.23-24'>1Co.14:16 14:23-24</ref> (R, mg., without gifts); ἀγράμματοι κ. ἰ., <ref='Act.4.13'>Act.4:13;</ref> with dative (= cl. with genitive of thing(s)), λόγῳ, <ref='2Co.11.6.'>2Co.11:6.</ref>†<BR /> (AS)
